iter	Passed	Remaining
0	3	311
1	6	340
2	10	335
3	13	320
4	16	315
5	19	312
6	23	309
7	26	303
8	29	296
9	32	291
10	35	284
11	38	281
12	41	277
13	44	273
14	47	270
15	50	266
16	53	262
17	56	258
18	59	255
19	63	252
20	66	248
21	69	244
22	72	242
23	75	238
24	78	234
25	81	231
26	84	227
27	87	224
28	90	220
29	92	216
30	95	213
31	98	209
32	101	206
33	104	203
34	108	200
35	110	197
36	113	193
37	117	191
38	120	187
39	123	184
40	125	180
41	126	175
42	129	171
43	132	168
44	135	165
45	137	161
46	140	158
47	144	156
48	147	153
49	150	150
50	153	147
51	155	143
52	158	140
53	161	137
54	163	133
55	166	130
56	169	127
57	171	124
58	174	121
59	177	118
60	180	115
61	183	112
62	185	108
63	188	105
64	190	102
65	193	99
66	195	96
67	198	93
68	200	90
69	203	87
70	205	84
71	208	81
72	210	78
73	213	75
74	216	72
75	218	69
76	221	66
77	223	63
78	226	60
79	228	57
80	231	54
81	233	51
82	236	48
83	238	45
84	241	42
85	243	39
86	246	36
87	249	33
88	251	31
89	254	28
90	256	25
91	259	22
92	261	19
93	264	16
94	267	14
95	269	11
96	272	8
97	275	5
98	277	2
99	280	0
